epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6854,2.73954,17.8117,1.4824,0.03958,0.27778,0.02587,0.01239,1.89272,27.6417,1.25219,0.00034,0.00034,0.00034
2,19.1425,1.99375,2.72587,1.19335,0.2866,0.38889,0.19258,0.07006,2.45582,5.54644,1.9399,0.0006748,0.0006748,0.0006748
3,27.6833,1.9157,1.67421,1.2412,0.02772,0.72222,0.02575,0.00892,2.17573,114.144,2.0529,0.00098368,0.00098368,0.00098368
4,36.1737,1.85014,1.36875,1.16957,0.63994,0.66667,0.6026,0.23262,1.74331,1.62807,1.59288,0.00126664,0.00126664,0.00126664
5,44.6802,1.89517,1.21731,1.24834,0.70018,0.88889,0.8271,0.27913,1.7704,2.11006,1.57363,0.00152368,0.00152368,0.00152368
6,53.1363,1.80122,1.23315,1.15547,0.0037,0.27778,0.00226,0.00063,3.00824,123.701,2.64599,0.00164,0.00164,0.00164
7,61.5387,1.74267,1.0989,1.14887,0.00084,0.22222,0.00046,0.00019,2.57991,inf,2.94292,0.001568,0.001568,0.001568
8,70.0473,1.74753,1.04727,1.12969,0.00017,0.05556,9e-05,1e-05,4.59774,333.283,7.80243,0.001496,0.001496,0.001496
9,78.2829,1.7796,0.99663,1.13841,0.7931,0.88889,0.92514,0.39017,1.77558,1.12979,1.65277,0.001424,0.001424,0.001424
10,86.8012,1.68353,0.99092,1.16096,0.95315,0.83333,0.88896,0.35904,1.86175,0.87695,1.57406,0.001352,0.001352,0.001352
11,95.1919,1.60829,0.9281,1.10926,0.73214,0.77778,0.81477,0.32013,1.86549,0.97999,1.66892,0.00128,0.00128,0.00128
12,103.642,1.65624,0.89434,1.10669,0.95462,0.22222,0.34309,0.15054,2.05415,1.9944,2.04785,0.001208,0.001208,0.001208
13,112.056,1.59765,0.91965,1.04457,0.8413,0.77778,0.84409,0.32644,1.90013,1.33871,1.89342,0.001136,0.001136,0.001136
14,120.494,1.6333,0.93085,1.10333,0.78943,0.83311,0.77646,0.36981,1.85664,0.93672,1.56098,0.001064,0.001064,0.001064
15,129.037,1.63891,0.96778,1.09469,0.94069,0.8815,0.89206,0.44343,1.7653,0.97205,1.49219,0.000992,0.000992,0.000992
16,137.646,1.68115,0.9684,1.1402,0.83113,0.82086,0.80143,0.32797,1.80419,1.02809,1.82781,0.00092,0.00092,0.00092
17,146.069,1.57479,0.85699,1.10812,0.86434,0.70865,0.83798,0.35846,1.67429,0.9844,1.62581,0.000848,0.000848,0.000848
18,154.438,1.62066,0.88964,1.12206,0.82502,0.83333,0.84087,0.45671,1.61333,0.90967,1.42281,0.000776,0.000776,0.000776
19,162.88,1.50623,0.80871,1.07942,0.84876,0.93568,0.86292,0.44529,1.62355,0.86015,1.38389,0.000704,0.000704,0.000704
20,171.175,1.50518,0.8182,1.06555,0.8405,0.87872,0.88553,0.47724,1.50507,0.76967,1.35875,0.000632,0.000632,0.000632
21,179.539,1.53873,0.82221,1.09107,0.79165,0.88889,0.8479,0.39885,1.55999,0.88337,1.37623,0.00056,0.00056,0.00056
22,187.886,1.44834,0.76249,1.04678,0.87576,0.94444,0.90764,0.43215,1.57936,0.84692,1.38306,0.000488,0.000488,0.000488
23,196.336,1.38328,0.70947,1.04002,0.78699,0.82155,0.86656,0.43743,1.77516,0.83732,1.49802,0.000416,0.000416,0.000416
24,204.595,1.40005,0.71066,1.04827,0.79322,0.88889,0.87601,0.45995,1.6544,0.88466,1.44459,0.000344,0.000344,0.000344
25,212.844,1.32219,0.70899,1.00437,0.88006,0.94444,0.92064,0.42581,1.60803,0.84487,1.43034,0.000272,0.000272,0.000272
